Date,Weighted
2010-07-17 03:07:00,0.05
2010-07-18 03:07:00,0.07
2010-07-19 03:07:00,0.09
2010-07-20 03:07:00,0.08
2010-07-21 03:07:00,0.07
2010-07-22 03:07:00,0.06
2010-07-23 03:07:00,0.06
2010-07-24 03:07:00,0.05
2010-07-25 03:07:00,0.05
2010-07-26 03:07:00,0.05
2010-07-27 03:07:00,0.06
2010-07-28 03:07:00,0.06
2010-07-29 03:07:00,0.07
2010-07-30 03:07:00,0.07
2010-07-31 03:07:00,0.06
2010-08-01 03:08:00,0.06
2010-08-02 03:08:00,0.06
2010-08-03 03:08:00,0.06
2010-08-04 03:08:00,0.06
2010-08-05 03:08:00,0.06
2010-08-06 03:08:00,0.06
2010-08-07 03:08:00,0.06
2010-08-08 03:08:00,0.06
2010-08-09 03:08:00,0.07
2010-08-10 03:08:00,0.07
2010-08-11 03:08:00,0.07
2010-08-12 03:08:00,0.07
2010-08-13 03:08:00,0.07
2010-08-14 03:08:00,0.07
2010-08-15 03:08:00,0.07
2010-08-16 03:08:00,0.06
2010-08-17 03:08:00,0.07
2010-08-18 03:08:00,0.07
2010-08-19 03:08:00,0.07
2010-08-20 03:08:00,0.07
2010-08-21 03:08:00,0.07
2010-08-22 03:08:00,0.06
2010-08-23 03:08:00,0.07
2010-08-24 03:08:00,0.07
2010-08-25 03:08:00,0.07
2010-08-26 03:08:00,0.07
2010-08-27 03:08:00,0.06
2010-08-28 03:08:00,0.06
2010-08-29 03:08:00,0.06
2010-08-30 03:08:00,0.06
2010-08-31 03:08:00,0.06
2010-09-01 03:09:00,0.06
2010-09-02 03:09:00,0.06
2010-09-03 03:09:00,0.06
2010-09-04 03:09:00,0.06
2010-09-05 03:09:00,0.06
2010-09-06 03:09:00,0.06
2010-09-07 03:09:00,0.06
2010-09-08 03:09:00,0.06
2010-09-09 03:09:00,0.06
2010-09-10 03:09:00,0.06
2010-09-11 03:09:00,0.06
2010-09-12 03:09:00,0.06
2010-09-13 03:09:00,0.06
2010-09-14 03:09:00,0.06
2010-09-15 03:09:00,0.06
2010-09-16 03:09:00,0.06
2010-09-17 03:09:00,0.06
2010-09-18 03:09:00,0.06
2010-09-19 03:09:00,0.06
2010-09-20 03:09:00,0.06
2010-09-21 03:09:00,0.06
2010-09-22 03:09:00,0.06
2010-09-23 03:09:00,0.06
2010-09-24 03:09:00,0.06
2010-09-25 03:09:00,0.06
2010-09-26 03:09:00,0.06
2010-09-27 03:09:00,0.06
2010-09-28 03:09:00,0.06
2010-09-29 03:09:00,0.06
2010-09-30 03:09:00,0.06
2010-10-01 03:10:00,0.06
2010-10-02 03:10:00,0.06
2010-10-03 03:10:00,0.06
2010-10-04 03:10:00,0.06
2010-10-05 03:10:00,0.06
2010-10-06 03:10:00,0.06
2010-10-07 03:10:00,0.06
2010-10-08 03:10:00,0.08
2010-10-09 03:10:00,0.09
2010-10-10 03:10:00,0.10
2010-10-11 03:10:00,0.10
2010-10-12 03:10:00,0.09
2010-10-13 03:10:00,0.10
2010-10-14 03:10:00,0.10
2010-10-15 03:10:00,0.10
2010-10-16 03:10:00,0.10
2010-10-17 03:10:00,0.10
2010-10-18 03:10:00,0.10
2010-10-19 03:10:00,0.10
2010-10-20 03:10:00,0.10
2010-10-21 03:10:00,0.10
2010-10-22 03:10:00,0.11
2010-10-23 03:10:00,0.11
2010-10-24 03:10:00,0.11
2010-10-25 03:10:00,0.15
2010-10-26 03:10:00,0.16
2010-10-27 03:10:00,0.18
2010-10-28 03:10:00,0.19
2010-10-29 03:10:00,0.19
2010-10-30 03:10:00,0.19
2010-10-31 03:10:00,0.19
