Date,Weighted
2019-01-01 00:12:00,3709.27
2019-01-01 01:01:00,3721.5
2019-01-01 02:01:00,3731.95
2019-01-01 03:01:00,3731.71
2019-01-01 04:01:00,3715.04
2019-01-01 05:01:00,3729.58
2019-01-01 06:01:00,3732.62
2019-01-01 07:01:00,3734.2
2019-01-01 08:01:00,3736.48
2019-01-01 09:01:00,3784.05
2019-01-01 10:01:00,3774.53
2019-01-01 11:01:00,3751.01
2019-01-01 12:01:00,3790.92
2019-01-01 13:01:00,3759.91
2019-01-01 14:01:00,3788.25
2019-01-01 15:01:00,3792.11
2019-01-01 16:01:00,3742.3
2019-01-01 17:01:00,3727.89
2019-01-01 18:01:00,3751.76
2019-01-01 19:01:00,3738.5
2019-01-01 20:01:00,3719.29
2019-01-01 21:01:00,3748.24
2019-01-01 22:01:00,3818.32
2019-01-01 23:01:00,3811.85
2019-01-02 00:01:00,3772.52
2019-01-02 01:01:00,3881.54
2019-01-02 02:01:00,3866.41
2019-01-02 03:01:00,3849.38
2019-01-02 04:01:00,3848.64
2019-01-02 05:01:00,3896.91
2019-01-02 06:01:00,3855.13
2019-01-02 07:01:00,3852.59
2019-01-02 08:01:00,3831.09
2019-01-02 09:01:00,3868.24
2019-01-02 10:01:00,3859.29
2019-01-02 11:01:00,3889.99
2019-01-02 12:01:00,3897.19
2019-01-02 13:01:00,3884.11
2019-01-02 14:01:00,3862.21
2019-01-02 15:01:00,3930.95
2019-01-02 16:01:00,3900.24
2019-01-02 17:01:00,3875.91
2019-01-02 18:01:00,3913.64
2019-01-02 19:01:00,3915.46
2019-01-02 20:01:00,3913.14
2019-01-02 21:01:00,3910.2
2019-01-02 22:01:00,3922.55
2019-01-02 23:01:00,3940.47
2019-01-03 00:01:00,3941.15
2019-01-03 01:01:00,3966.04
2019-01-03 02:01:00,3920.73
2019-01-03 03:01:00,3938.27
2019-01-03 04:01:00,3891.87
2019-01-03 05:01:00,3901.03
2019-01-03 06:01:00,3916.34
2019-01-03 07:01:00,3895.34
2019-01-03 08:01:00,3868.47
2019-01-03 09:01:00,3929.72
2019-01-03 10:01:00,3887.66
2019-01-03 11:01:00,3879.86
2019-01-03 12:01:00,3897.53
2019-01-03 13:01:00,3875.99
2019-01-03 14:01:00,3867.75
2019-01-03 15:01:00,3899.8
2019-01-03 16:01:00,3882.75
2019-01-03 17:01:00,3905.09
2019-01-03 18:01:00,3825.35
2019-01-03 19:01:00,3834.17
2019-01-03 20:01:00,3808.21
2019-01-03 21:01:00,3831.76
2019-01-03 22:01:00,3825.35
2019-01-03 23:01:00,3833.64
2019-01-04 00:01:00,3843.21
2019-01-04 01:01:00,3848.46
2019-01-04 02:01:00,3808.11
2019-01-04 03:01:00,3832.44
2019-01-04 04:01:00,3821.57
2019-01-04 05:01:00,3849.62
2019-01-04 06:01:00,3828.54
2019-01-04 07:01:00,3860.53
2019-01-04 08:01:00,3862.9
2019-01-04 09:01:00,3879.09
2019-01-04 10:01:00,3854.53
2019-01-04 11:01:00,3827.03
2019-01-04 12:01:00,3863.55
2019-01-04 13:01:00,3866.37
2019-01-04 14:01:00,3842.84
2019-01-04 15:01:00,3874.31
2019-01-04 16:01:00,3816.21
2019-01-04 17:01:00,3803.3
2019-01-04 18:01:00,3825.85
2019-01-04 19:01:00,3837.58
2019-01-04 20:01:00,3821.47
2019-01-04 21:01:00,3827.26
2019-01-04 22:01:00,3804.34
2019-01-04 23:01:00,3869.77
2019-01-05 00:01:00,3858.45
2019-01-05 01:01:00,3854.95
2019-01-05 02:01:00,3917.15
2019-01-05 03:01:00,3908.83
2019-01-05 04:01:00,3903.03
2019-01-05 05:01:00,3936.24
2019-01-05 06:01:00,3925.4
2019-01-05 07:01:00,3935.92
2019-01-05 08:01:00,3917.01
2019-01-05 09:01:00,3872.52
2019-01-05 10:01:00,3891.59
2019-01-05 11:01:00,3895.21
2019-01-05 12:01:00,3886
2019-01-05 13:01:00,3884.59
2019-01-05 14:01:00,3887.43
2019-01-05 15:01:00,3902.28
2019-01-05 16:01:00,3861.73
2019-01-05 17:01:00,3920.65
2019-01-05 18:01:00,3895.48
2019-01-05 19:01:00,3885.93
2019-01-05 20:01:00,3885.87
2019-01-05 21:01:00,3918.52
2019-01-05 22:01:00,3896.54
2019-01-05 23:01:00,3896.09
2019-01-06 00:01:00,3869.74
2019-01-06 01:01:00,3860.03
2019-01-06 02:01:00,3866.47
2019-01-06 03:01:00,3849.99
2019-01-06 04:01:00,3851.41
2019-01-06 05:01:00,3860.15
2019-01-06 06:01:00,3827
