"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 13, 2020","34.72","32.77","36.11","32.51","-","4.52%"
"Mar 12, 2020","33.22","35.99","36.46","32.50","472.74K","-7.18%"
"Mar 11, 2020","35.79","37.27","39.70","35.35","471.77K","-3.84%"
"Mar 10, 2020","37.22","35.84","38.22","35.00","551.29K","8.32%"
"Mar 09, 2020","34.36","38.28","38.34","31.02","779.72K","-24.10%"
"Mar 06, 2020","45.27","50.25","50.45","45.18","636.39K","-9.44%"
"Mar 05, 2020","49.99","51.66","52.04","49.70","361.04K","-2.23%"
"Mar 04, 2020","51.13","52.11","53.03","51.04","363.50K","-1.41%"
"Mar 03, 2020","51.86","53.47","53.90","51.22","407.55K","-0.08%"
"Mar 02, 2020","51.90","48.95","53.20","48.40","417.56K","2.73%"
