Time,Open,High,Low,Close,Volume
03/19/2020,157.786,157.786,157.786,157.786,0
03/18/2020,148.17,148.17,148.17,148.17,0
03/17/2020,155.352,155.352,155.352,155.352,0
03/16/2020,157.427,157.427,157.427,157.427,0
03/12/2020,169.158,169.158,169.158,169.158,0
03/11/2020,173.98,173.98,173.98,173.98,0
03/10/2020,185.572,185.771,185.572,185.572,0
03/09/2020,174.108,174.108,173.635,174.108,0
03/06/2020,226.58,226.58,226.58,226.58,0
03/05/2020,247.714,247.714,247.714,247.714,0
03/04/2020,249.269,249.269,249.269,249.269,0
03/03/2020,244.839,244.839,244.839,244.839,0
03/02/2020,248.535,248.535,248.535,248.535,0
02/28/2020,242.629,242.629,242.629,242.629,0
02/27/2020,249.618,249.618,249.618,249.618,0
02/26/2020,250.225,250.225,250.225,250.225,0
02/25/2020,256.347,256.347,256.347,256.347,0
02/24/2020,269.642,269.642,269.642,269.642,0
02/20/2020,279.806,279.806,279.806,279.806,0
02/19/2020,277.704,277.704,277.704,277.704,15
02/18/2020,269.513,269.513,269.513,269.513,15
02/14/2020,273.628,273.628,273.628,273.628,15
02/13/2020,267.873,267.873,267.873,267.873,15
02/12/2020,265.237,265.237,265.237,265.237,20
02/11/2020,250.992,250.992,250.992,250.992,6
02/10/2020,243.897,243.897,243.897,243.897,6
02/07/2020,247.394,247.394,247.394,247.394,5
02/06/2020,251.098,251.098,251.098,251.098,35
02/05/2020,251.098,251.098,251.098,251.098,5
02/04/2020,248.278,248.278,248.278,248.278,11
02/03/2020,239.137,239.137,239.137,239.137,25
01/31/2020,245.187,245.187,245.187,245.187,0
01/30/2020,250.881,250.881,250.881,250.881,55
01/29/2020,259.538,259.538,259.538,259.538,55
01/28/2020,253.694,253.694,253.694,253.694,0
01/27/2020,249.718,249.718,249.718,249.718,0
01/24/2020,260.406,260.406,260.406,260.406,0
01/23/2020,273.834,273.834,273.834,273.834,0
01/22/2020,272.266,272.266,272.266,272.266,5
01/21/2020,268.991,268.991,268.991,268.991,5
01/17/2020,271.265,271.265,271.265,271.265,0
01/16/2020,267.829,267.829,267.829,267.829,0
01/15/2020,255.446,255.446,255.446,255.446,0
01/14/2020,258.604,258.604,258.604,258.604,0
01/13/2020,263.436,263.436,263.436,263.436,0
01/10/2020,271.56,271.56,271.56,271.56,10
01/09/2020,268.735,268.735,268.735,268.735,0
01/08/2020,261.898,261.898,261.898,261.898,0
01/07/2020,264.247,264.247,264.247,264.247,0
01/06/2020,265.699,265.699,265.699,265.699,0
01/03/2020,256.969,256.969,256.969,256.969,25
01/02/2020,246.588,246.588,246.588,246.588,0
12/31/2019,245.175,245.175,245.175,245.175,0
12/30/2019,249.8,249.8,249.8,249.8,0
12/27/2019,248.025,248.025,248.025,248.025,0
12/26/2019,244.5,244.5,244.5,244.5,0
12/24/2019,244.975,244.975,244.975,244.975,0
12/23/2019,242.775,242.775,242.775,242.775,0
12/20/2019,249,249,249,249,0
12/19/2019,248.075,248.075,248.075,248.075,0
12/18/2019,242.825,242.825,242.825,242.825,0
12/17/2019,241.15,241.15,241.15,241.15,0
12/16/2019,233.621,233.621,233.621,233.621,0
12/13/2019,233.749,233.749,233.749,233.749,0
12/12/2019,228.417,228.417,228.417,228.417,1
12/11/2019,226.22,226.22,226.22,226.22,1
12/10/2019,234.9,234.9,234.9,234.9,16
12/09/2019,223.941,223.941,223.941,223.941,0
12/06/2019,223.596,223.596,223.596,223.596,0
12/05/2019,212.013,212.013,212.013,212.013,8
12/04/2019,207.053,207.053,207.053,207.053,8
12/03/2019,198.268,198.268,198.268,198.268,2
12/02/2019,193.725,193.725,193.725,193.725,16
11/29/2019,185.131,185.131,185.131,185.131,8
11/27/2019,208.121,208.121,208.121,208.121,8
11/26/2019,211.974,211.974,211.974,211.974,8
11/25/2019,209.478,209.478,209.478,209.478,0
11/22/2019,209.845,209.845,209.845,209.845,24
11/21/2019,214.427,214.427,214.427,214.427,24
11/20/2019,201.951,201.951,201.951,201.951,8
11/19/2019,193.213,193.213,193.213,193.213,0
11/18/2019,202.616,202.616,202.616,202.616,0
11/15/2019,211.95,211.95,211.95,211.95,16
11/14/2019,203.15,203.15,203.15,203.15,8
11/13/2019,204.078,204.078,204.078,204.078,0
11/12/2019,207.064,207.064,207.064,207.064,0
11/11/2019,208.388,208.388,208.388,208.388,0
11/08/2019,212.748,212.748,212.748,212.748,0
11/07/2019,211.691,211.691,211.691,211.691,0
11/06/2019,208.56,208.56,208.56,208.56,0
11/05/2019,216.423,216.423,216.423,216.423,0
11/04/2019,215.138,215.138,215.138,215.138,0
11/01/2019,216.628,216.628,216.628,216.628,0
10/31/2019,203.711,203.711,203.711,203.711,0
10/30/2019,203.567,203.567,203.567,203.567,0
10/29/2019,207.965,207.965,207.965,207.965,0
10/28/2019,208.449,208.449,208.449,208.449,0
10/25/2019,215.293,215.293,215.293,215.293,8
10/24/2019,212.931,212.931,212.931,212.931,8
10/23/2019,209.567,209.567,209.567,209.567,0
10/22/2019,196.783,196.783,196.783,196.783,0
10/21/2019,191.275,191.275,191.275,191.275,0
10/18/2019,193.675,193.675,193.675,193.675,0
10/17/2019,199.247,199.247,199.247,199.247,0
10/16/2019,200.52,200.52,200.52,200.52,0
10/15/2019,197.734,197.734,197.734,197.734,0
10/14/2019,200.559,200.559,200.559,200.559,0
10/11/2019,209.083,209.083,209.083,209.083,0
10/10/2019,201.877,201.877,201.877,201.877,8
10/09/2019,199.414,199.414,199.414,199.414,8
10/08/2019,200.582,200.582,200.582,200.582,0
10/07/2019,201.95,201.95,201.95,201.95,0
10/04/2019,205.452,205.452,205.452,205.452,0
10/03/2019,203.167,203.167,203.15,203.167,0
10/02/2019,199.058,199.058,199.058,199.058,0
10/01/2019,200.259,200.259,200.259,200.259,0
09/30/2019,198.335,198.335,198.335,198.335,0
09/27/2019,206.487,206.487,206.487,206.487,0
09/26/2019,208.288,208.288,208.288,208.288,0
09/25/2019,212.297,212.297,212.297,212.297,0
09/24/2019,221.678,221.678,221.678,221.678,0
09/23/2019,232.815,232.815,232.815,232.815,0
09/20/2019,232.137,232.137,232.137,232.137,0
09/19/2019,231.792,231.8,231.792,231.792,0
09/18/2019,228.962,228.962,228.962,228.962,0
09/17/2019,238.736,238.736,238.736,238.736,0
09/16/2019,253.861,253.861,253.861,253.861,0
09/13/2019,212.225,212.225,212.225,212.225,5
09/12/2019,212.798,212.798,212.798,212.798,5
09/11/2019,209.956,209.956,209.956,209.956,0
09/10/2019,216.417,216.417,216.417,216.417,5
09/09/2019,223.763,223.763,223.763,223.763,5
09/06/2019,226.512,226.512,226.512,226.512,0
09/05/2019,227.059,227.059,227.059,227.059,0
09/04/2019,225.544,225.544,225.544,225.544,0
09/03/2019,214.874,214.874,214.874,214.874,0
08/30/2019,227.572,227.572,227.572,227.572,0
08/29/2019,237.408,237.408,237.408,237.408,0
08/28/2019,237.163,237.163,237.163,237.163,1
08/27/2019,234.205,234.205,234.205,234.205,1
08/26/2019,229.217,229.217,229.217,229.217,0
08/23/2019,232.609,232.609,232.609,232.609,0
08/22/2019,236.602,236.602,236.602,236.602,0
08/21/2019,237.625,237.625,237.625,237.625,0
08/20/2019,236.75,236.75,236.75,236.75,0
08/19/2019,236.8,236.8,236.8,236.8,0
08/16/2019,232.275,232.275,232.275,232.275,1
08/15/2019,228.8,228.8,228.8,228.8,1
08/14/2019,235.55,235.55,235.55,235.55,0
08/13/2019,253.55,253.55,253.55,253.55,0
08/12/2019,239.45,239.45,239.45,239.45,0
08/09/2019,243.4,243.4,243.4,243.4,0
08/08/2019,239.9,239.9,239.9,239.9,0
08/07/2019,236.325,236.325,236.325,236.325,0
08/06/2019,251.7,251.7,251.7,251.7,0
08/05/2019,255.8,255.8,255.8,255.8,0
08/02/2019,265.325,265.325,265.325,265.325,0
08/01/2019,254.475,254.475,254.475,254.475,0
07/31/2019,282.925,282.925,282.925,282.925,0
07/30/2019,281.85,281.85,281.85,281.85,0
07/29/2019,277.55,277.55,277.55,277.55,0
