Date,Open,High,Low,Close,Weighted,Volume
2010-07-17 03:07:00,0.0495,0.0495,0.0495,0.0495,0.04951,0.9902
2010-07-18 03:07:00,0.0495,0.0858,0.0594,0.0858,0.067884,5.092
2010-07-19 03:07:00,0.0858,0.0931,0.0772,0.0808,0.086516,49.66
2010-07-20 03:07:00,0.0808,0.0818,0.0743,0.0747,0.078588,20.59
2010-07-21 03:07:00,0.0747,0.0792,0.0663,0.0792,0.073496,42.26
2010-07-22 03:07:00,0.0792,0.0818,0.0505,0.0505,0.060083,129.78
2010-07-23 03:07:00,0.0505,0.0677,0.0505,0.0626,0.058718,141.07
2010-07-24 03:07:00,0.0626,0.0616,0.0505,0.0545,0.053856,26.73
2010-07-25 03:07:00,0.0545,0.0594,0.0505,0.0505,0.054825,85.06
2010-07-26 03:07:00,0.0505,0.056,0.05,0.056,0.053489,46.91
2010-07-27 03:07:00,0.056,0.0605,0.053,0.06,0.058369,196.92
2010-07-28 03:07:00,0.06,0.062,0.054,0.0589,0.058256,255.76
2010-07-29 03:07:00,0.0589,0.0699,0.0571,0.0699,0.065561,528.32
2010-07-30 03:07:00,0.0699,0.0698,0.0582,0.0627,0.06572,198.53
2010-07-31 03:07:00,0.0627,0.0689,0.056,0.0678,0.060638,243.9
2010-08-01 03:08:00,0.0678,0.065,0.06,0.0611,0.062534,162.65
2010-08-02 03:08:00,0.0611,0.0633,0.06,0.06,0.061462,221.2
2010-08-03 03:08:00,0.06,0.065,0.059,0.06,0.061707,606.05
2010-08-04 03:08:00,0.06,0.0623,0.057,0.057,0.060323,210.77
2010-08-05 03:08:00,0.057,0.061,0.058,0.061,0.060311,303.61
2010-08-06 03:08:00,0.061,0.0624,0.0607,0.0623,0.061584,85.91
2010-08-07 03:08:00,0.0623,0.0622,0.059,0.059,0.060076,157.34
2010-08-08 03:08:00,0.059,0.061,0.059,0.0609,0.060245,132.6
2010-08-09 03:08:00,0.0609,0.0735,0.0593,0.071,0.065067,886.93
2010-08-10 03:08:00,0.071,0.0709,0.0665,0.07,0.06782,88.87
2010-08-11 03:08:00,0.07,0.0754,0.06,0.067,0.07223,1015.64
2010-08-12 03:08:00,0.067,0.07,0.0614,0.07,0.065213,134.49
2010-08-13 03:08:00,0.07,0.068,0.0645,0.0645,0.065093,233.8
2010-08-14 03:08:00,0.0645,0.0695,0.0645,0.067,0.067052,295.31
2010-08-15 03:08:00,0.067,0.067,0.065,0.0653,0.06609,294.95
2010-08-16 03:08:00,0.0653,0.0679,0.062,0.0655,0.064931,696.8
2010-08-17 03:08:00,0.0655,0.0769,0.0624,0.07,0.069393,915
2010-08-18 03:08:00,0.07,0.0733,0.067,0.068,0.069002,203.83
2010-08-19 03:08:00,0.068,0.0679,0.0667,0.0667,0.067519,50.04
2010-08-20 03:08:00,0.0667,0.0667,0.065,0.0655,0.065816,276.41
2010-08-21 03:08:00,0.0655,0.0669,0.0644,0.0664,0.065925,688.51
