Time,Open,High,Low,Last,Change,Volume,"Open Int"
03/24/2020,305,312.75,301,311.75,22,66810,0
03/23/2020,294.75,303.5,281,289.75,-14,69832,150385
03/20/2020,304,327.25,296,303.75,12,99462,148547
03/19/2020,291.5,314,279,291.75,15.5,88809,145780
03/18/2020,298.5,306.5,271,276.25,-28.5,95236,139487
03/17/2020,308.25,318.5,298.5,304.75,-6.25,68642,135490
03/16/2020,351.5,352,303,311,-28.5,91139,136304
03/13/2020,341.25,360.25,337.25,339.5,-1.25,99440,134385
03/12/2020,371,373.75,337.25,340.75,-33.5,144146,138688
03/11/2020,371.25,390.5,365.75,374.25,5.75,98360,134303
03/10/2020,362,381.75,357.25,368.5,8.25,117843,127384
03/09/2020,377.5,377.5,316.5,360.25,-55,156237,122826
03/06/2020,449.5,450.5,414.5,415.25,-41.25,124997,122241
03/05/2020,463.5,466,445.25,456.5,-5.25,88010,125036
03/04/2020,463.75,470.25,457,461.75,2.75,77122,117846
03/03/2020,470.75,472.5,454.5,459,5.75,92950,115424
03/02/2020,438.25,466.25,435.5,453.25,13.5,77584,114231
02/28/2020,443.75,449,435,439.75,-5.25,69213,113207
02/27/2020,453,453.75,436.75,445,-21.5,112496,113492
02/26/2020,476.25,481,449,466.5,-15.75,91835,124631
02/25/2020,489.75,493,472.75,482.25,0,39725,126116
02/24/2020,504,504,478.25,482.25,-22.75,53798,122100
02/21/2020,510,511.75,500.75,505,-11.25,39714,121801
02/20/2020,517,520.75,510.5,516.25,1.5,43786,117630
02/19/2020,503.5,517.5,503.5,514.75,12.25,51418,116779
02/18/2020,507.75,509,500.25,502.5,-5.25,51625,111055
02/17/2020,513.25,514,507.5,507.75,-3.5,23693,105019
02/14/2020,509,514.5,506.5,511.25,1.75,32762,104897
02/13/2020,506.5,513.5,502.5,509.5,4,46008,105590
02/12/2020,496,512.5,495.75,505.5,12,71613,103897
02/11/2020,491.25,499.25,491.25,493.5,2,47488,96210
02/10/2020,497.75,501,488.5,491.5,-12,48142,97894
02/07/2020,507.25,508.25,498.25,503.5,-2.25,40309,92619
02/06/2020,505.25,512.25,500.25,505.75,0,40617,87182
02/05/2020,489.5,511.5,487.25,505.75,13.25,40933,84835
02/04/2020,485,496.25,483.5,492.5,7.25,27194,86897
02/03/2020,495,499.5,482.75,485.25,-16.5,33485,87919
01/31/2020,512.5,514.5,496.25,501.75,-8,41857,89074
01/30/2020,519,519,499.5,509.75,-13.25,53658,85120
01/29/2020,526.25,530.5,517.75,523,-2,37669,75556
01/28/2020,513,528.75,508.25,525,11.25,49406,75794
01/27/2020,532,532,509,513.75,-21.75,59671,80192
01/24/2020,549,551,532.5,535.5,-9.5,23498,83634
01/23/2020,550,550.75,539,545,-7.25,44613,82109
01/22/2020,564,564.25,549.75,552.25,-14.75,46229,82941
01/21/2020,574,574.5,563.25,567,-6.75,25997,79729
01/20/2020,573.5,577.75,571.75,573.75,6.75,14602,76709
01/17/2020,570,573.25,564.75,567,-5.75,39891,75232
01/16/2020,571.75,574.25,568,572.75,1.5,39688,77968
01/15/2020,575,578,568.25,571.25,-4.25,42534,73474
01/14/2020,574,580,570.25,575.5,1.75,34593,72923
01/13/2020,586,586.25,572.5,573.75,-14.5,23413,73784
01/10/2020,588.75,591.5,582.75,588.25,-1,20279,73240
01/09/2020,595.75,596.5,584.5,589.25,-12.5,22576,69566
01/08/2020,626.75,633,588.5,601.75,-10,18998,72236
01/07/2020,611,615.5,606.25,611.75,-1.75,19672,72810
01/06/2020,622.75,631.25,609.25,613.5,-0.75,24091,71881
01/03/2020,606.25,629.25,605,614.25,10.5,26346,71169
01/02/2020,605.25,606.75,601.75,603.75,2,8284,71217
12/31/2019,607.75,610.5,600.75,601.75,-8.75,3644,70189
12/30/2019,611.75,617.5,605,610.5,-2,6068,70027
12/27/2019,611,613.25,609.25,612.5,2.25,5948,69221
12/26/2019,606.5,611,605.75,610.25,7.5,2655,69292
12/24/2019,601,606.25,599.5,602.75,2,2296,69411
12/23/2019,599.75,602.75,597.5,600.75,-0.25,5664,69518
12/20/2019,603.5,606,598,601,-2.75,13752,68620
12/19/2019,600,604.25,598,603.75,5,7232,67432
12/18/2019,599,602.5,597.25,598.75,-2,13244,67252
12/17/2019,594.75,602.25,594,600.75,5.5,10869,66173
12/16/2019,589.75,596.25,589,595.25,8.75,12667,66837
12/13/2019,584,594.5,583.5,586.5,7.25,16950,67137
12/12/2019,576.5,584.75,575.5,579.25,6,23053,64399
12/11/2019,581.25,581.25,571,573.25,-10,14214,57050
12/10/2019,578.5,585.75,575.5,583.25,3.75,10241,54354
12/09/2019,580.25,581.25,574.25,579.5,0,15621,53366
12/06/2019,575.5,586.5,572.5,579.5,3.25,16529,49868
12/05/2019,572.75,579,570,576.25,4.75,11882,50377
12/04/2019,563.5,577.25,562.25,571.5,10,14516,49369
12/03/2019,562.25,565.75,556.75,561.5,-4.5,11674,49527
12/02/2019,561.25,571.5,559.75,566,3.25,8315,49765
11/29/2019,580.75,580.75,558,562.75,-13.25,11555,49336
11/28/2019,576.5,582,575.5,576,-1.5,1696,48099
11/27/2019,579.75,584.75,576,577.5,-2.5,8517,48293
11/26/2019,578.5,583,576.75,580,5.25,9630,47427
11/25/2019,575,578.25,572,574.75,1.25,2548,47146
11/22/2019,575.75,580.75,571.75,573.5,2.25,9260,47018
11/21/2019,562.75,577.75,561,571.25,5,9797,45671
11/20/2019,554.25,568.5,550,566.25,7.25,10933,44002
11/19/2019,564.25,565.5,552,559,-4,8600,43567
11/18/2019,578,578,562.5,563,-12,9789,43179
11/15/2019,570.75,578.75,564.75,575,4.5,9853,43179
11/14/2019,571.25,574.75,567.75,570.5,3.25,10810,43723
11/13/2019,563.75,570.5,558,567.25,0,15136,43694
11/12/2019,569.25,570.25,563.5,567.25,-1.75,15497,41037
11/11/2019,567,571.75,561,569,6,7694,37881
11/08/2019,566.25,569.75,555.25,563,-5.5,13110,36816
11/07/2019,567.25,571.75,565.75,568.5,-1.75,14722,36517
11/06/2019,573.5,578.25,565.25,570.25,-4,8943,37571
11/05/2019,571,577,570.75,574.25,-1,7375,36115
11/04/2019,567.5,576.75,566.25,575.25,15,8447,35878
11/01/2019,551.25,568.5,551.25,560.25,9.25,2870,35400
10/31/2019,558.5,563.25,547.5,551,-11.5,6549,35424
10/30/2019,568.5,571.75,556.75,562.5,-9.75,3379,36629
10/29/2019,570.75,573.75,564.25,572.25,0.5,4771,36794
10/28/2019,576.25,578.75,570.75,571.75,-2.75,3329,37764
10/25/2019,574.25,576.75,568.5,574.5,0.75,5904,37884
10/24/2019,570,576.75,568,573.75,8.5,4762,38141
10/23/2019,560.25,571.25,555.75,565.25,0.75,8258,37730
10/22/2019,557.75,566,556.25,564.5,9.75,8262,37008
10/21/2019,558.25,561,551.25,554.75,-6,3784,36424
10/18/2019,562,564.25,557.25,560.75,4,2306,35195
10/17/2019,558.75,563,554.5,556.75,-2.5,3858,35003
10/16/2019,557.5,562.5,554.5,559.25,-0.25,5571,34364
10/15/2019,556.75,561.25,552.5,559.5,4.75,4141,33820
10/14/2019,567,567,553,554.75,-12.25,4657,33762
10/11/2019,558.25,567.5,557.25,567,15.5,7323,32769
10/10/2019,546.5,558.5,546.25,551.5,-2.75,5235,32671
10/09/2019,547.25,555.5,547,554.25,9.25,3651,32770
10/08/2019,551,551,541.75,545,-7.5,4111,33296
10/07/2019,543.5,555,543,552.5,7.25,4584,32061
10/04/2019,544,549,541.25,545.25,6,3194,32114
10/03/2019,542.75,545.75,532,539.25,-3.25,5701,32396
10/02/2019,555.75,555.75,541.5,542.5,-12.75,3839,32374
10/01/2019,553.75,559.25,549.5,555.25,-4,4821,32489
09/30/2019,565.25,565.25,552.5,559.25,-8.5,3386,31088
09/27/2019,564.5,569.25,557.75,567.75,4.5,7557,30466
09/26/2019,567.5,570,562.25,563.25,-2.75,4155,28883
09/25/2019,568.75,569,560.75,566,-10.75,2548,29077
09/24/2019,581.25,581.25,568.25,576.75,-4.25,3958,29122
09/23/2019,582.5,584.25,575,581,-3.25,2424,28574
09/20/2019,583.25,586,578.25,584.25,2.75,5488,28749
09/19/2019,576.5,588.25,574.75,581.5,1.75,6614,28976
09/18/2019,583.75,584,573.5,579.75,-8,4407,28771
09/17/2019,602.5,605.25,576.5,587.75,-12.5,10966,28831
09/16/2019,580,628.5,580,600.25,44.25,11363,28751
09/13/2019,555.75,557.5,550.5,556,0,1638,28208
09/12/2019,565.5,565.5,549.5,556,-15.25,2262,27654
09/11/2019,576.5,578.25,559.75,571.25,-8.5,3320,27456
09/10/2019,572.5,580,571,579.75,7,2785,27455
09/09/2019,567.75,573.75,564.75,572.75,14.5,2456,27467
09/06/2019,562,564,549.75,558.25,-9.5,1582,27927
09/05/2019,558.25,568.25,557,567.75,11.25,3263,27866
09/04/2019,539.75,559.75,539.75,556.5,20.75,2014,28052
09/03/2019,541.5,541.5,532.25,535.75,-3.75,4557,28060
09/02/2019,546.75,547.25,539.5,539.5,-5,1218,26523
08/30/2019,556,556.5,542.75,544.5,-11.75,1582,26514
08/29/2019,551.75,557.75,551.75,556.25,0.5,2505,26539
08/28/2019,551,557.25,551,555.75,13.75,1211,25802
08/27/2019,541.75,547,541,542,-4,1241,25665
08/26/2019,543,551.25,539.5,546,1.5,644,25523
08/23/2019,550.75,550.75,541.25,544.5,-8.5,922,25542
08/22/2019,553.75,559,551,553,-5.25,710,25497
08/21/2019,556.5,562.75,555.25,558.25,7.75,582,25393
08/20/2019,550,554,548.25,550.5,2.25,787,25323
08/19/2019,546,550.25,546,548.25,2.5,858,25556
08/16/2019,548.75,551.5,543,545.75,0.25,1386,25636
08/15/2019,548.75,550.75,542.25,545.5,-2,1642,25485
08/14/2019,563,563.25,545.75,547.5,-15,1610,25396
08/13/2019,543,566.5,543,562.5,18.25,2481,25570
08/12/2019,543.5,547.5,541.75,544.25,0.25,1853,26213
08/09/2019,536.75,547.5,535.5,544,8.5,2296,26168
08/08/2019,538.75,539.5,531.5,535.5,7,1368,26180
08/07/2019,545,546.5,527.75,528.5,-22.75,2712,25993
08/06/2019,553.5,555,546.75,551.25,-3.75,576,25641
08/05/2019,558.5,561.75,550,555,-10.5,1344,25573
