Date,Weighted
2015-01-01 00:12:00,318.92
2015-01-01 01:01:00,319.77
2015-01-01 02:01:00,321.15
2015-01-01 03:01:00,319.35
2015-01-01 04:01:00,319.05
2015-01-01 05:01:00,319.38
2015-01-01 06:01:00,323.78
2015-01-01 07:01:00,316.58
2015-01-01 08:01:00,317
2015-01-01 09:01:00,318.11
2015-01-01 10:01:00,315.21
2015-01-01 11:01:00,317.03
2015-01-01 12:01:00,316.37
2015-01-01 13:01:00,316.92
2015-01-01 14:01:00,316.01
2015-01-01 15:01:00,316.44
2015-01-01 16:01:00,315.93
2015-01-01 17:01:00,316.57
2015-01-01 18:01:00,317.24
2015-01-01 19:01:00,320.01
2015-01-01 20:01:00,317.68
2015-01-01 21:01:00,319.67
2015-01-01 22:01:00,317.61
2015-01-01 23:01:00,315.08
2015-01-02 00:01:00,317.78
2015-01-02 01:01:00,317.68
2015-01-02 02:01:00,316.63
2015-01-02 03:01:00,313.6
2015-01-02 04:01:00,317.01
2015-01-02 05:01:00,316.8
2015-01-02 06:01:00,315.08
2015-01-02 07:01:00,316.63
2015-01-02 08:01:00,315.07
2015-01-02 09:01:00,316.07
2015-01-02 10:01:00,315.15
2015-01-02 11:01:00,314.79
2015-01-02 12:01:00,314.27
2015-01-02 13:01:00,315
2015-01-02 14:01:00,315.4
2015-01-02 15:01:00,315.98
2015-01-02 16:01:00,315.96
2015-01-02 17:01:00,317.46
2015-01-02 18:01:00,317.95
2015-01-02 19:01:00,315.3
2015-01-02 20:01:00,320
2015-01-02 21:01:00,324.43
2015-01-02 22:01:00,320.4
2015-01-02 23:01:00,319.98
2015-01-03 00:01:00,320.81
2015-01-03 01:01:00,322.92
2015-01-03 02:01:00,315.09
2015-01-03 03:01:00,316.45
2015-01-03 04:01:00,321.07
2015-01-03 05:01:00,312.37
2015-01-03 06:01:00,314.12
2015-01-03 07:01:00,314.29
2015-01-03 08:01:00,311.04
2015-01-03 09:01:00,307.76
2015-01-03 10:01:00,306.34
2015-01-03 11:01:00,306.06
2015-01-03 12:01:00,307.63
2015-01-03 13:01:00,306.33
2015-01-03 14:01:00,301.26
2015-01-03 15:01:00,300.86
2015-01-03 16:01:00,300
2015-01-03 17:01:00,302.45
2015-01-03 18:01:00,303.51
2015-01-03 19:01:00,302.38
2015-01-03 20:01:00,305.24
2015-01-03 21:01:00,303.24
2015-01-03 22:01:00,296.65
2015-01-03 23:01:00,294.55
2015-01-04 00:01:00,291.22
2015-01-04 01:01:00,287.14
2015-01-04 02:01:00,282.18
2015-01-04 03:01:00,283.33
2015-01-04 04:01:00,281.68
2015-01-04 05:01:00,281.76
2015-01-04 06:01:00,279.57
2015-01-04 07:01:00,282.92
2015-01-04 08:01:00,280.28
2015-01-04 09:01:00,280.67
2015-01-04 10:01:00,282.4
2015-01-04 11:01:00,285.52
2015-01-04 12:01:00,287.6
2015-01-04 13:01:00,284.68
2015-01-04 14:01:00,283.44
2015-01-04 15:01:00,277.62
2015-01-04 16:01:00,266.74
2015-01-04 17:01:00,263.22
2015-01-04 18:01:00,263.68
2015-01-04 19:01:00,269.08
2015-01-04 20:01:00,269.94
2015-01-04 21:01:00,266.85
2015-01-04 22:01:00,269.98
2015-01-04 23:01:00,268.56
2015-01-05 00:01:00,267.51
2015-01-05 01:01:00,262.34
2015-01-05 02:01:00,266.92
2015-01-05 03:01:00,268.02
2015-01-05 04:01:00,273
2015-01-05 05:01:00,275.14
2015-01-05 06:01:00,271.75
2015-01-05 07:01:00,272.44
2015-01-05 08:01:00,269.42
2015-01-05 09:01:00,270.75
2015-01-05 10:01:00,274.25
2015-01-05 11:01:00,276.54
2015-01-05 12:01:00,271.61
2015-01-05 13:01:00,271.03
2015-01-05 14:01:00,269.49
2015-01-05 15:01:00,269.73
2015-01-05 16:01:00,273.03
2015-01-05 17:01:00,273.69
2015-01-05 18:01:00,275.14
2015-01-05 19:01:00,276.58
2015-01-05 20:01:00,270.02
2015-01-05 21:01:00,273.33
2015-01-05 22:01:00,273.03
2015-01-05 23:01:00,272.19
2015-01-06 00:01:00,277.73
2015-01-06 01:01:00,276.7
2015-01-06 02:01:00,275.15
2015-01-06 03:01:00,276.69
2015-01-06 04:01:00,279.09
2015-01-06 05:01:00,277.6
2015-01-06 06:01:00,274.66
2015-01-06 07:01:00,274.96
2015-01-06 08:01:00,274.38
2015-01-06 09:01:00,273.94
2015-01-06 10:01:00,274.19
2015-01-06 11:01:00,274.5
2015-01-06 12:01:00,274.04
2015-01-06 13:01:00,274.11
2015-01-06 14:01:00,275.08
2015-01-06 15:01:00,273.74
2015-01-06 16:01:00,274.45
2015-01-06 17:01:00,275.48
2015-01-06 18:01:00,272.26
2015-01-06 19:01:00,278.15
2015-01-06 20:01:00,274.64
2015-01-06 21:01:00,284.64
2015-01-06 22:01:00,282.7
2015-01-06 23:01:00,286.27
2015-01-07 00:01:00,290.14
2015-01-07 01:01:00,284.3
2015-01-07 02:01:00,283.09
2015-01-07 03:01:00,283.66
2015-01-07 04:01:00,284.49
2015-01-07 05:01:00,285.7
2015-01-07 06:01:00,285.33
2015-01-07 07:01:00,287.55
2015-01-07 08:01:00,285.01
2015-01-07 09:01:00,286.03
2015-01-07 10:01:00,286.32
2015-01-07 11:01:00,285.43
2015-01-07 12:01:00,283.34
2015-01-07 13:01:00,284.49
2015-01-07 14:01:00,285.22
2015-01-07 15:01:00,283.95
2015-01-07 16:01:00,285.87
2015-01-07 17:01:00,285.7
2015-01-07 18:01:00,285.21
2015-01-07 19:01:00,288.33
2015-01-07 20:01:00,287.8
2015-01-07 21:01:00,292.56
2015-01-07 22:01:00,293.77
2015-01-07 23:01:00,294.92
2015-01-08 00:01:00,293.7
2015-01-08 01:01:00,294.74
2015-01-08 02:01:00,297.67
2015-01-08 03:01:00,302.08
2015-01-08 04:01:00,294.62
2015-01-08 05:01:00,295.26
2015-01-08 06:01:00,297.1
2015-01-08 07:01:00,290.77
2015-01-08 08:01:00,292.47
