Date,Weighted
1444309200,0.0
1444312800,245.0
1444316400,245.0
1444320000,244.92
1444323600,244.25
1444327200,244.99
1444330800,244.0
1444334400,244.0
1444338000,244.0
1444341600,243.95
1444345200,243.95
1444348800,243.95
1444352400,243.6
1444356000,243.6
1444359600,243.6
1444363200,243.6
1444366800,243.6
1444370400,243.6
1444374000,243.6
1444377600,243.6
1444381200,243.6
1444384800,243.6
1444388400,243.6
1444392000,243.63
1444395600,243.63
1444399200,244.0
1444402800,244.0
1444406400,244.0
1444410000,244.0
1444413600,243.7
1444417200,243.7
1444420800,244.06
1444424400,249.97
1444428000,245.39
1444431600,245.39
1444435200,245.39
1444438800,245.39
1444442400,245.54
1444446000,245.51
1444449600,245.51
1444453200,245.45
1444456800,245.45
1444460400,245.45
1444464000,245.45
1444467600,245.45
1444471200,245.45
1444474800,245.45
1444478400,244.6
1444482000,244.6
1444485600,245.18
1444489200,245.18
1444492800,245.37
1444496400,245.37
1444500000,245.37
1444503600,245.37
1444507200,245.37
1444510800,245.37
1444514400,245.75
1444518000,245.75
1444521600,246.3
1444525200,246.3
1444528800,246.3
1444532400,246.3
1444536000,246.3
1444539600,246.3
1444543200,246.3
1444546800,246.3
1444550400,246.3
1444554000,246.3
1444557600,246.3
1444561200,246.3
1444564800,246.3
1444568400,246.3
1444572000,246.3
1444575600,246.3
1444579200,246.3
1444582800,246.5
1444586400,248.24
1444590000,248.24
1444593600,248.24
1444597200,248.24
1444600800,247.77
1444604400,248.24
1444608000,249.5
1444611600,249.0
1444615200,249.0
1444618800,249.0
1444622400,248.98
1444626000,248.71
1444629600,248.71
1444633200,248.71
1444636800,248.71
1444640400,248.71
1444644000,248.71
1444647600,248.71
1444651200,247.72
1444654800,247.72
1444658400,247.62
1444662000,247.62
1444665600,247.62
1444669200,247.91
1444672800,247.62
1444676400,247.62
1444680000,247.6
1444683600,247.6
1444687200,247.6
1444690800,247.6
1444694400,247.6
1444698000,247.24
1444701600,247.1
1444705200,245.75
1444708800,245.75
1444712400,245.75
1444716000,245.75
1444719600,246.4
1444723200,248.0
1444726800,248.3
1444730400,248.3
1444734000,248.3
1444737600,252.87
1444741200,251.45
1444744800,251.45
1444748400,251.35
1444752000,250.8
1444755600,250.28
1444759200,250.0
1444762800,249.92
1444766400,250.35
1444770000,250.35
1444773600,250.35
1444777200,250.0
1444780800,250.42
1444784400,251.08
1444788000,251.0
1444791600,251.0
1444795200,251.0
1444798800,250.7
1444802400,250.89
1444806000,250.89
1444809600,251.0
1444813200,251.15
1444816800,251.15
1444820400,251.15
1444824000,251.15
1444827600,251.15
1444831200,251.53
1444834800,251.53
1444838400,253.0
1444842000,253.63
1444845600,254.55
1444849200,254.32
1444852800,253.92
1444856400,254.19
1444860000,254.07
1444863600,254.19
1444867200,253.0
1444870800,253.0
1444874400,253.0
1444878000,255.0
1444881600,254.59
1444885200,254.59
1444888800,255.9
1444892400,255.9
1444896000,255.9
1444899600,253.64
1444903200,255.47
1444906800,255.47
1444910400,255.47
1444914000,255.47
1444917600,255.47
1444921200,255.45
1444924800,255.31
1444928400,255.0
1444932000,255.4
1444935600,256.25
1444939200,258.86
1444942800,256.33
1444946400,255.2
1444950000,255.2
1444953600,255.31
1444957200,255.31
1444960800,255.13
1444964400,256.63
1444968000,257.19
1444971600,258.98
1444975200,258.98
1444978800,258.98
1444982400,256.21
1444986000,256.21
1444989600,260.0
1444993200,259.2
1444996800,259.2
1445000400,261.5
1445004000,263.0
1445007600,263.0
1445011200,265.42
1445014800,268.83
1445018400,268.66
1445022000,269.99
1445025600,265.7
1445029200,263.05
1445032800,263.1
1445036400,263.25
1445040000,264.0
1445043600,264.38
1445047200,265.18
1445050800,270.0
1445054400,270.0
1445058000,274.6
1445061600,270.91
1445065200,274.58
1445068800,269.87
1445072400,274.19
1445076000,274.19
1445079600,274.19
1445083200,274.19
1445086800,274.14
1445090400,274.14
1445094000,274.0
1445097600,273.5
1445101200,271.16
1445104800,271.16
1445108400,270.0
1445112000,268.0
1445115600,267.71
1445119200,270.0
1445122800,272.47
1445126400,272.47
1445130000,274.39
1445133600,274.5
1445137200,271.65
1445140800,269.26
1445144400,274.22
1445148000,274.22
1445151600,274.45
1445155200,274.45
1445158800,274.66
1445162400,274.66
1445166000,272.44
1445169600,272.44
1445173200,272.44
1445176800,272.44
1445180400,268.5
1445184000,268.75
1445187600,267.75
1445191200,267.75
1445194800,264.02
1445198400,264.02
1445202000,264.02
1445205600,268.46
1445209200,268.46
1445212800,268.46
1445216400,268.46
1445220000,268.46
1445223600,269.99
1445227200,269.99
1445230800,269.99
1445234400,269.99
1445238000,269.99
1445241600,269.99
1445245200,269.99
1445248800,269.99
1445252400,269.99
1445256000,269.99
1445259600,268.81
1445263200,267.39
1445266800,267.89
1445270400,268.5
1445274000,274.77
1445277600,270.0
1445281200,268.51
1445284800,272.5
1445288400,265.06
1445292000,272.5
1445295600,266.02
1445299200,266.33
1445302800,266.89
1445306400,270.3
1445310000,270.3
1445313600,273.87
1445317200,270.99
1445320800,266.89
1445324400,266.89
1445328000,266.89
1445331600,268.38
1445335200,268.38
1445338800,273.87
1445342400,273.87
1445346000,273.87
1445349600,268.76
1445353200,271.12
1445356800,275.99
1445360400,275.99
1445364000,270.97
1445367600,272.35
1445371200,274.0
1445374800,274.42
1445378400,272.0
1445382000,272.1
1445385600,272.0
1445389200,272.25
1445392800,272.25
1445396400,272.5
1445400000,272.5
1445403600,272.47
1445407200,272.47
1445410800,272.47
1445414400,272.47
1445418000,272.45
1445421600,272.45
1445425200,269.5
1445428800,272.0
1445432400,272.1
1445436000,272.0
1445439600,271.5
1445443200,271.5
1445446800,271.5
1445450400,271.3
1445454000,271.25
1445457600,271.25
1445461200,271.93
1445464800,272.0
1445468400,271.64
1445472000,272.0
1445475600,271.26
1445479200,271.26
1445482800,271.5
1445486400,271.5
1445490000,271.5
1445493600,271.5
1445497200,271.63
1445500800,271.7
1445504400,273.0
1445508000,275.0
1445511600,277.05
1445515200,279.98
1445518800,278.87
1445522400,278.88
1445526000,278.77
1445529600,278.7
1445533200,276.62
1445536800,276.75
1445540400,276.75
1445544000,276.74
1445547600,276.85
1445551200,276.92
1445554800,276.89
1445558400,276.92
1445562000,276.92
1445565600,278.3
1445569200,278.33
1445572800,278.25
1445576400,276.92
1445580000,279.89
1445583600,279.88
1445587200,279.88
1445590800,280.28
1445594400,279.87
1445598000,279.87
1445601600,279.87
1445605200,279.86
1445608800,279.86
1445612400,281.0
1445616000,280.91
1445619600,280.89
1445623200,280.89
1445626800,280.51
1445630400,280.89
1445634000,280.19
1445637600,280.19
1445641200,280.19
1445644800,280.25
1445648400,280.25
1445652000,280.25
1445655600,280.23
1445659200,281.78
1445662800,281.62
1445666400,280.97
1445670000,280.97
1445673600,280.97
1445677200,280.97
1445680800,280.97
1445684400,280.97
1445688000,281.38
1445691600,281.42
1445695200,281.42
1445698800,281.42
1445702400,283.42
1445706000,283.42
1445709600,281.3
1445713200,281.3
1445716800,281.3
1445720400,281.14
1445724000,282.64
1445727600,283.04
1445731200,285.0
1445734800,287.0
1445738400,286.92
1445742000,287.01
1445745600,290.0
1445749200,289.4
1445752800,294.46
1445756400,294.1
1445760000,294.1
1445763600,294.1
1445767200,294.1
1445770800,294.1
1445774400,294.1
1445778000,294.1
1445781600,293.87
1445785200,295.0
1445788800,296.0
1445792400,296.22
1445796000,296.22
1445799600,294.59
1445803200,294.59
1445806800,294.0
1445810400,287.39
1445814000,291.0
1445817600,285.01
1445821200,285.01
1445824800,287.59
1445828400,284.98
1445832000,285.0
1445835600,283.99
1445839200,283.99
1445842800,283.99
1445846400,283.99
1445850000,283.99
1445853600,286.19
1445857200,286.19
1445860800,286.19
1445864400,286.19
1445868000,284.55
1445871600,284.55
1445875200,288.89
1445878800,290.0
1445882400,288.89
1445886000,288.89
1445889600,286.0
1445893200,288.91
1445896800,288.54
1445900400,288.54
1445904000,288.54
1445907600,289.0
1445911200,291.25
1445914800,290.0
1445918400,291.69
1445922000,290.78
1445925600,290.66
1445929200,290.33
1445932800,290.33
1445936400,290.33
1445940000,290.33
1445943600,290.99
1445947200,291.7
1445950800,292.5
1445954400,294.98
1445958000,294.99
1445961600,294.0
1445965200,294.69
1445968800,294.7
1445972400,294.82
1445976000,295.0
1445979600,295.0
1445983200,298.38
1445986800,298.22
1445990400,298.22
1445994000,298.2
1445997600,298.38
1446001200,298.38
1446004800,298.38
1446008400,301.3
1446012000,301.3
1446015600,301.29
1446019200,301.29
1446022800,301.29
1446026400,303.85
1446030000,301.29
1446033600,303.75
1446037200,305.59
1446040800,306.5
1446044400,307.8
1446048000,308.5
1446051600,307.8
1446055200,299.2
1446058800,299.2
1446062400,299.2
1446066000,303.73
1446069600,303.45
1446073200,307.05
1446076800,307.1
1446080400,307.0
1446084000,305.14
1446087600,305.53
1446091200,306.99
1446094800,307.0
1446098400,307.14
1446102000,307.14
1446105600,307.35
1446109200,308.74
1446112800,312.0
1446116400,312.07
1446120000,312.07
1446123600,307.79
1446127200,315.0
1446130800,315.0
1446134400,320.01
1446138000,320.0
1446141600,314.75
1446145200,314.89
1446148800,314.06
1446152400,314.06
1446156000,314.89
1446159600,314.89
1446163200,314.89
1446166800,317.57
1446170400,328.8
1446174000,329.92
1446177600,329.93
1446181200,333.0
1446184800,330.0
1446188400,333.0
1446192000,343.0
1446195600,343.0
1446199200,332.9
1446202800,333.18
1446206400,332.9
1446210000,317.86
1446213600,327.0
1446217200,330.0
1446220800,325.28
1446224400,325.79
1446228000,329.98
1446231600,334.17
1446235200,330.35
1446238800,321.8
1446242400,323.0
1446246000,323.0
1446249600,330.36
1446253200,336.69
1446256800,333.5
1446260400,333.01
1446264000,334.89
1446267600,327.0
1446271200,325.89
1446274800,332.73
1446278400,332.73
1446282000,332.73
1446285600,332.73
1446289200,327.64
1446292800,327.64
1446296400,327.64
1446300000,327.64
1446303600,327.64
1446307200,317.52
1446310800,322.86
1446314400,315.94
1446318000,315.0
1446321600,314.0
1446325200,310.0
1446328800,316.11
1446332400,315.0
1446336000,315.0
1446339600,319.79
1446343200,319.79
1446346800,319.0
1446350400,315.14
1446354000,319.8
1446357600,322.67
1446361200,322.67
1446364800,322.67
1446368400,322.67
1446372000,319.55
1446375600,321.0
1446379200,321.0
1446382800,321.0
1446386400,321.0
1446390000,321.0
1446393600,320.0
1446397200,316.35
1446400800,314.87
1446404400,314.87
1446408000,319.27
1446411600,321.6
1446415200,327.66
1446418800,329.99
1446422400,330.0
1446426000,329.99
1446429600,326.1
1446433200,326.1
1446436800,328.0
1446440400,330.0
1446444000,332.96
1446447600,332.96
1446451200,332.96
1446454800,332.99
1446458400,332.99
1446462000,335.42
1446465600,338.0
1446469200,340.0
1446472800,341.0
1446476400,336.17
1446480000,336.58
