Date,Open,High,Low,Close
2010-07-16,0.049510,0.049510,0.049510,0.049510
2010-07-17,0.049510,0.085850,0.059410,0.085840
2010-07-18,0.085840,0.093070,0.077230,0.080800
2010-07-19,0.080800,0.081810,0.074260,0.074740
2010-07-20,0.074740,0.079210,0.066340,0.079210
2010-07-21,0.079210,0.081810,0.050500,0.050500
2010-07-22,0.050500,0.067670,0.050500,0.062620
2010-07-23,0.062620,0.061610,0.050490,0.054540
2010-07-24,0.054540,0.059410,0.050500,0.050500
2010-07-25,0.050500,0.056000,0.050000,0.056000
2010-07-26,0.056000,0.060500,0.053000,0.060000
2010-07-27,0.060000,0.062000,0.054000,0.058900
2010-07-28,0.058900,0.069900,0.057100,0.069900
2010-07-29,0.069900,0.069800,0.058200,0.062700
2010-07-30,0.062700,0.068890,0.056000,0.067850
2010-07-31,0.067850,0.065000,0.060000,0.061100
2010-08-01,0.061100,0.063300,0.060000,0.060000
2010-08-02,0.060000,0.065000,0.059000,0.060000
2010-08-03,0.060000,0.062310,0.057000,0.057000
2010-08-04,0.057000,0.061000,0.058000,0.061000
2010-08-05,0.061000,0.062400,0.060700,0.062300
2010-08-06,0.062300,0.062200,0.059000,0.059000
2010-08-07,0.059000,0.061000,0.059000,0.060900
2010-08-08,0.060900,0.073500,0.059300,0.071000
2010-08-09,0.071000,0.070900,0.066510,0.070000
2010-08-10,0.070000,0.075410,0.060000,0.067000
2010-08-11,0.067000,0.070000,0.061410,0.070000
2010-08-12,0.070000,0.068000,0.064500,0.064500
2010-08-13,0.064500,0.069500,0.064500,0.067000
2010-08-14,0.067000,0.067000,0.065000,0.065290
2010-08-15,0.065290,0.067900,0.062000,0.065500
2010-08-16,0.065500,0.076900,0.062430,0.070000
2010-08-17,0.070000,0.073300,0.067000,0.068000
2010-08-18,0.068000,0.067900,0.066700,0.066700
2010-08-19,0.066700,0.066700,0.065000,0.065500
2010-08-20,0.065500,0.066900,0.064400,0.066400
2010-08-21,0.066400,0.066400,0.061200,0.066000
2010-08-22,0.066000,0.066890,0.063000,0.064910
2010-08-23,0.064910,0.066500,0.064910,0.065000
2010-08-24,0.065000,0.066500,0.064100,0.064800
2010-08-25,0.064800,0.065800,0.064000,0.064000
2010-08-26,0.064000,0.065000,0.063000,0.065000
2010-08-27,0.065000,0.065000,0.064100,0.064100
2010-08-28,0.064100,0.064800,0.064000,0.064000
2010-08-29,0.064000,0.069000,0.032110,0.064970
2010-08-30,0.064970,0.064900,0.060000,0.060000
2010-08-31,0.060000,0.062900,0.059610,0.062900
2010-09-01,0.062900,0.063400,0.060100,0.063400
2010-09-02,0.063400,0.063000,0.060850,0.060850
2010-09-03,0.060850,0.062380,0.061200,0.062380
2010-09-04,0.062380,0.064000,0.060500,0.061600
2010-09-05,0.061600,0.062700,0.061600,0.061600
2010-09-06,0.061600,0.062010,0.060300,0.061000
2010-09-07,0.061000,0.062000,0.060990,0.062000
2010-09-08,0.062000,0.062400,0.061090,0.061110
2010-09-09,0.061110,0.061800,0.060140,0.061800
2010-09-10,0.061800,0.065000,0.061900,0.063660
2010-09-11,0.063660,0.062100,0.061500,0.061500
2010-09-12,0.061500,0.064000,0.060700,0.062190
2010-09-13,0.062190,0.175000,0.061000,0.061990
2010-09-14,0.061990,0.062500,0.060400,0.060400
2010-09-15,0.060400,0.061900,0.061800,0.061900
2010-09-16,0.061900,0.060900,0.059000,0.059000
2010-09-17,0.059000,0.061000,0.057610,0.061000
2010-09-18,0.061000,0.062700,0.060000,0.062700
2010-09-19,0.062700,0.063400,0.062000,0.062100
2010-09-20,0.062100,0.063300,0.062300,0.062650
2010-09-21,0.062650,0.062400,0.061470,0.062200
2010-09-22,0.062200,0.063000,0.061500,0.062310
2010-09-23,0.062310,0.062400,0.062090,0.062200
2010-09-24,0.062200,0.062400,0.061700,0.062020
2010-09-25,0.062020,0.062280,0.061860,0.062000
2010-09-26,0.062000,0.062280,0.061900,0.062200
2010-09-27,0.062200,0.062710,0.061700,0.061900
2010-09-28,0.061900,0.062000,0.061500,0.061910
2010-09-29,0.061910,0.061900,0.061550,0.061900
2010-09-30,0.061900,0.062000,0.061890,0.061970
2010-10-01,0.061970,0.061910,0.061250,0.061400
2010-10-02,0.061400,0.061400,0.061000,0.061110
2010-10-03,0.061110,0.062000,0.060810,0.061300
2010-10-04,0.061300,0.063010,0.060900,0.061400
2010-10-05,0.061400,0.063500,0.061200,0.062810
2010-10-06,0.062810,0.067000,0.062800,0.067000
2010-10-07,0.067000,0.088000,0.010000,0.086850
2010-10-08,0.086850,0.120000,0.068000,0.093800
2010-10-09,0.093800,0.130100,0.079990,0.096500
2010-10-10,0.096500,0.103000,0.091000,0.095000
2010-10-11,0.095000,0.099000,0.082000,0.094900
2010-10-12,0.094900,0.105000,0.092000,0.105000
2010-10-13,0.105000,0.104500,0.065000,0.102000
2010-10-14,0.102000,0.119000,0.092000,0.105000
2010-10-15,0.105000,0.103000,0.100000,0.101000
2010-10-16,0.101000,0.104500,0.100000,0.102000
2010-10-17,0.102000,0.103000,0.097000,0.102400
2010-10-18,0.102400,0.101900,0.097000,0.097000
2010-10-19,0.097000,0.103000,0.094000,0.099000
2010-10-20,0.099000,0.109000,0.097000,0.107000
2010-10-21,0.107000,0.109000,0.101500,0.102500
2010-10-22,0.102500,0.109000,0.104500,0.105500
2010-10-23,0.105500,0.190000,0.108000,0.115000
2010-10-24,0.115000,0.190000,0.090090,0.132000
2010-10-25,0.132000,0.180000,0.133000,0.150300
2010-10-26,0.150300,0.190000,0.151000,0.187700
2010-10-27,0.187700,0.191000,0.173100,0.173100
2010-10-28,0.173100,0.190000,0.173000,0.190000
2010-10-29,0.190000,0.199000,0.187500,0.198900
2010-10-30,0.198900,0.198900,0.171000,0.192500
2010-11-01,0.192500,0.195500,0.172000,0.195500
2010-11-02,0.195500,0.195000,0.190500,0.193800
2010-11-03,0.193800,0.275000,0.125000,0.193100
2010-11-04,0.193100,0.236000,0.193400,0.230000
2010-11-05,0.230000,0.263900,0.210100,0.260000
2010-11-06,0.260000,0.500000,0.240200,0.390000
2010-11-07,0.390000,0.470000,0.286000,0.340000
2010-11-08,0.340000,0.370000,0.226100,0.243000
2010-11-09,0.243000,0.323000,0.199000,0.210000
2010-11-10,0.210000,0.240000,0.140000,0.240000
2010-11-11,0.240000,0.240000,0.210000,0.223100
2010-11-12,0.223100,0.290000,0.223000,0.268200
2010-11-13,0.268200,0.300000,0.268300,0.276000
2010-11-14,0.276000,0.299000,0.270200,0.279000
2010-11-15,0.279000,0.282800,0.268200,0.268200
2010-11-16,0.268200,0.275000,0.223000,0.223000
2010-11-17,0.223000,0.290000,0.211600,0.229900
2010-11-18,0.229900,0.283000,0.222100,0.267800
